rank,symbol,label,setup_grade,hotness,confidence,readability,readability_label,signal_strength,trend_score,breakout_score,chop_ratio,atr,stop_distance,suggested_shares,reason
1,AAPL,LONG,B,0.6799263972870315,0.6878022133553887,69.25824766062367,MIXED,0.8184328241746505,1.2371068646529633,0.4198195640798949,0.4889784607633203,5.6285714285714255,8.442857142857138,11,conditions aligned
2,AMZN,NO_TRADE,AVOID,0.5890628062292445,0.49870640315726444,50.888167850892266,MIXED,0.5354751480255657,-0.3827896888499571,-0.8861431149976375,0.851938785090602,6.725357142857147,10.08803571428572,9,"confidence too low, market too choppy"
3,MSFT,NO_TRADE,AVOID,0.497607688834162,0.5793356745164651,59.31642787162139,MIXED,0.5428511952850504,0.8961953052156453,0.23454358475992523,0.6514478764478768,12.779999999999992,19.169999999999987,5,market too choppy
4,QQQ,NO_TRADE,AVOID,0.4237475113539827,0.524238193435969,61.51362499995257,MIXED,0.4704368315460745,0.8408107583979524,-0.11593716633335294,0.502063090642886,10.099642857142864,15.149464285714297,6,confidence too low
5,SPY,NO_TRADE,AVOID,0.3523057541147978,0.39863705843416053,53.06888891647622,MIXED,0.28479117518249397,0.6236858586442842,-0.36621083252776365,0.5767291792700164,6.452142857142852,9.678214285714278,10,confidence too low
6,AMD,NO_TRADE,AVOID,0.3225416389211302,0.40058831219877167,52.83536958267119,MIXED,0.395736629060223,0.7419002437088789,-0.01884539130302454,0.6295172097817996,27.04535714285715,40.56803571428573,2,"confidence too low, market too choppy"
7,TSLA,NO_TRADE,AVOID,0.3192119466395087,0.31009648373497417,40.13034963971533,CHAOTIC,0.2530681158688686,0.8723850741433076,-0.45547344202333123,0.9098013938685896,14.392142857142854,21.58821428571428,4,"confidence too low, market too choppy, structure chaotic"
8,META,NO_TRADE,AVOID,0.30947907739197905,0.33719914982806903,37.91031298397482,CHAOTIC,0.21583293631477013,-0.04587558759641474,-0.41098966129589204,0.975757867849053,15.088571428571445,22.63285714285717,4,"confidence too low, market too choppy, structure chaotic"
9,NVDA,NO_TRADE,AVOID,0.2503469817133045,0.27388015459483617,35.72989720358926,CHAOTIC,0.10865729715409557,-0.00475127102575764,0.4453542907084739,0.9687746412237814,8.188928571428573,12.283392857142859,8,"signal too weak, confidence too low, market too choppy, structure chaotic"
