rank,symbol,time,setup,score,readability,readability_label,price,vwap,or_high,or_low,rel_volume,trend_pct,stop_distance,reason
1,AMZN,2026-06-02 13:50:00-04:00,ALERT_LONG,2.601836288833703,97.8668686241928,CLEAN,257.955,257.9379260998915,257.83,254.39,0.9678450301661836,0.0005236211310215566,1.203999999999999,"opening range break above VWAP, market aligned"
2,TSLA,2026-06-02 13:50:00-04:00,LONG_WATCH,1.3679956710030499,70.10438280402045,MIXED,422.26,419.72715995608513,419.49,413.72,0.8342358821176754,0.0030405244904745388,2.5328400439148595,"near range high above VWAP, market aligned"
3,META,2026-06-02 13:50:00-04:00,LONG_WATCH,1.3341674106222137,80.67488995316606,CLEAN,605.585,603.8797409408137,604.305,596.835,0.8916051414734075,0.0008842244442608393,2.6144999999999694,"near range high above VWAP, market aligned"
4,AAPL,2026-06-02 13:50:00-04:00,LONG_WATCH,1.3105708768598967,69.52509846642184,MIXED,315.005,311.7342577507778,309.8,306.73,0.836289296088499,0.0007147849291568864,3.2707422492222236,"near range high above VWAP, market aligned"
5,QQQ,2026-06-02 13:50:00-04:00,LONG_WATCH,1.2980353670816227,78.5011050308543,CLEAN,744.63,743.7979045389486,742.61,739.25,0.772784472182716,0.0011024320727068826,1.1760000000000046,"near range high above VWAP, market aligned"
6,AMD,2026-06-02 13:50:00-04:00,LONG_WATCH,1.2963575253473216,70.91256293538378,MIXED,513.14,511.625818860851,511.92,501.46,0.6107121564118188,0.0033043308241273994,3.6610000000000125,"near range high above VWAP, market aligned"
7,SPY,2026-06-02 13:50:00-04:00,LONG_WATCH,1.287643910464768,80.25979323397733,CLEAN,759.18,758.7546736728764,757.71,756.75,0.7870107732587728,0.00048760559296789907,0.531426,"near range high above VWAP, market aligned"
8,NVDA,2026-06-02 13:50:00-04:00,NO_TRADE,0.5675052678431665,49.39131863390661,MIXED,222.86,226.89126176273055,227.45,225.08,1.5766005730816945,-0.0006278026905829348,4.031261762730537,"no clean opening range setup, strong relative volume, market aligned"
9,MSFT,2026-06-02 13:50:00-04:00,NO_TRADE,0.2973612887535198,71.69922883453027,MIXED,443.88,445.0291867061457,453.49,444.1,0.8069856825614024,-0.000596651994281161,3.286499999999995,"relative volume is light, market aligned"
